"","gene_name","gene_type","total","known","ISM.pre","ISM.suffix","NIC","NNC"
"11380","ICA1","protein_coding",13,6,1,0,6,0
"11381","ICA1L","protein_coding",20,8,4,3,5,0
"11382","ICAM1","protein_coding",1,1,0,0,0,0
"11383","ICAM2","protein_coding",4,4,0,0,0,0
"11384","ICAM3","protein_coding",1,0,0,1,0,0
"11385","ICAM5","protein_coding",1,1,0,0,0,0
"11386","ICE1","protein_coding",16,2,4,8,1,2
"11387","ICE2","protein_coding",35,6,11,11,8,3
"11388","ICK","protein_coding",15,2,2,7,1,2
"11389","ICMT","protein_coding",22,4,2,0,10,5
"11390","ICOSLG","protein_coding",1,1,0,0,0,0
"11391","ID1","protein_coding",2,2,0,0,0,0
"11392","ID2","protein_coding",4,4,0,0,0,0
"11393","ID2-AS1","lncRNA",3,3,0,0,0,0
"11394","ID3","protein_coding",3,3,0,0,0,0
"11395","ID4","protein_coding",4,1,0,1,0,2
"11396","IDE","protein_coding",11,2,2,4,3,0
"11397","IDH1","protein_coding",20,5,1,7,3,4
"11398","IDH1-AS1","lncRNA",1,1,0,0,0,0
"11399","IDH2","protein_coding",35,3,9,7,12,9
"11400","IDH3A","protein_coding",25,8,0,8,8,1
"11401","IDH3B","protein_coding",39,8,12,1,18,1
"11402","IDH3G","protein_coding",13,3,1,5,3,2
"11403","IDI1","protein_coding",25,4,4,5,5,7
"11404","IDNK","protein_coding",3,2,0,0,0,1
"11405","IDS","protein_coding",23,4,3,4,6,7
"11406","IDUA","protein_coding",8,2,1,2,2,1
"11407","IER2","protein_coding",3,3,0,0,0,0
"11408","IER3","protein_coding",2,2,0,0,0,0
"11409","IER3IP1","protein_coding",3,2,0,1,0,0
"11410","IER5","protein_coding",1,1,0,0,0,0
"11411","IER5L","protein_coding",1,1,0,0,0,0
"11412","IFFO1","protein_coding",24,6,0,5,12,1
"11413","IFFO2","protein_coding",2,2,0,0,0,0
"11414","IFI16","protein_coding",11,3,4,1,4,0
"11415","IFI27","protein_coding",4,4,0,0,0,0
"11416","IFI27L1","protein_coding",9,6,1,0,2,0
"11417","IFI27L2","protein_coding",4,4,0,0,0,0
"11418","IFI30","protein_coding",1,1,0,0,0,0
"11419","IFI35","protein_coding",3,3,0,0,0,0
"11420","IFI44","protein_coding",13,7,5,0,1,0
"11421","IFI44L","protein_coding",3,3,0,0,0,0
"11422","IFI6","protein_coding",3,3,0,0,0,0
"11423","IFIH1","protein_coding",4,2,1,0,0,1
"11424","IFIT1","protein_coding",1,1,0,0,0,0
"11425","IFIT1B","protein_coding",1,1,0,0,0,0
"11426","IFIT2","protein_coding",1,1,0,0,0,0
"11427","IFIT3","protein_coding",2,2,0,0,0,0
"11428","IFIT5","protein_coding",1,1,0,0,0,0
"11429","IFIT6P","unprocessed_pseudogene",1,1,0,0,0,0
"11430","IFITM2","protein_coding",1,1,0,0,0,0
"11431","IFITM3","protein_coding",1,1,0,0,0,0
"11432","IFNAR1","protein_coding",17,3,7,0,2,5
"11433","IFNAR2","protein_coding",14,6,0,0,3,5
"11434","IFNGR1","protein_coding",18,8,2,4,3,0
"11435","IFNGR2","protein_coding",7,4,0,2,1,0
"11436","IFNLR1","protein_coding",1,1,0,0,0,0
"11437","IFRD1","protein_coding",22,5,1,7,5,4
"11438","IFRD2","protein_coding",22,4,4,2,12,0
"11439","IFT122","protein_coding",23,7,1,1,14,0
"11440","IFT140","protein_coding",36,3,2,20,6,5
"11441","IFT172","protein_coding",20,7,0,7,4,2
"11442","IFT20","protein_coding",18,11,4,2,2,0
"11443","IFT22","protein_coding",10,8,2,0,0,0
"11444","IFT27","protein_coding",7,2,2,0,3,0
"11445","IFT43","protein_coding",18,6,5,2,4,0
"11446","IFT46","protein_coding",8,4,0,1,2,1
"11447","IFT52","protein_coding",12,3,0,1,7,1
"11448","IFT57","protein_coding",13,2,3,2,6,0
"11449","IFT74","protein_coding",8,3,4,0,1,0
"11450","IFT80","protein_coding",36,8,2,14,13,0
"11451","IFT81","protein_coding",47,4,16,10,13,4
"11452","IFT88","protein_coding",21,3,6,2,10,0
"11453","IGBP1","protein_coding",4,2,0,1,1,0
"11454","IGBP1P3","processed_pseudogene",1,1,0,0,0,0
"11455","IGBP1P4","processed_pseudogene",1,1,0,0,0,0
"11456","IGDCC3","protein_coding",10,1,0,3,6,0
"11457","IGDCC4","protein_coding",11,3,0,8,0,0
"11458","IGF1","protein_coding",1,1,0,0,0,0
"11459","IGF1R","protein_coding",29,4,2,24,0,0
"11460","IGF2","protein_coding",3,3,0,0,0,0
"11461","IGF2BP1","protein_coding",5,3,1,0,0,1
"11462","IGF2BP2","protein_coding",34,6,8,9,10,2
"11463","IGF2BP3","protein_coding",19,3,3,7,5,1
"11464","IGF2R","protein_coding",21,2,0,19,0,0
"11465","IGFBP2","protein_coding",5,1,0,2,1,1
"11466","IGFBP3","protein_coding",5,2,1,1,2,0
"11467","IGFBP4","protein_coding",1,1,0,0,0,0
"11468","IGFBP5","protein_coding",3,2,0,1,0,0
"11469","IGFBP6","protein_coding",1,1,0,0,0,0
"11470","IGFBP7","protein_coding",5,2,1,1,0,1
"11471","IGFBPL1","protein_coding",19,1,1,6,1,10
"11472","IGFL4","protein_coding",2,2,0,0,0,0
"11473","IGFLR1","protein_coding",1,1,0,0,0,0
"11474","IGHMBP2","protein_coding",15,5,3,2,5,0
"11475","IGIP","protein_coding",1,1,0,0,0,0
"11476","IGLL1","protein_coding",1,1,0,0,0,0
"11477","IGLON5","protein_coding",10,1,0,6,3,0
"11478","IGSF1","protein_coding",3,3,0,0,0,0
"11479","IGSF11","protein_coding",10,4,3,1,3,0
"11480","IGSF21","protein_coding",9,2,0,6,0,1
"11481","IGSF3","protein_coding",17,3,4,9,0,1
"11482","IGSF5","protein_coding",1,1,0,0,0,0
"11483","IGSF6","protein_coding",2,2,0,0,0,0
"11484","IGSF8","protein_coding",25,3,1,9,12,1
"11485","IGSF9","protein_coding",40,2,2,17,15,4
"11486","IK","protein_coding",34,2,4,11,15,2
"11487","IKBIP","protein_coding",4,3,0,0,1,0
"11488","IKBKB","protein_coding",29,11,1,6,11,0
"11489","IKBKE","protein_coding",5,4,0,0,1,0
"11490","IKBKG","protein_coding",11,0,2,1,7,1
"11491","IKBKGP1","unprocessed_pseudogene",2,1,0,1,0,0
"11492","IKZF1","protein_coding",3,3,0,0,0,0
"11493","IKZF2","protein_coding",5,2,1,0,2,0
"11494","IKZF4","protein_coding",6,6,0,0,0,0
"11495","IKZF5","protein_coding",13,3,0,3,3,4
"11496","IL10","protein_coding",1,1,0,0,0,0
"11497","IL10RA","protein_coding",5,5,0,0,0,0
"11498","IL10RB","protein_coding",5,3,1,0,1,0
"11499","IL11RA","protein_coding",12,3,0,2,7,0
"11500","IL12A","protein_coding",5,5,0,0,0,0
"11501","IL12RB2","protein_coding",3,3,0,0,0,0
"11502","IL13RA1","protein_coding",1,1,0,0,0,0
"11503","IL13RA2","protein_coding",1,1,0,0,0,0
"11504","IL16","protein_coding",3,3,0,0,0,0
"11505","IL17D","protein_coding",1,0,0,1,0,0
"11506","IL17RA","protein_coding",4,2,0,0,0,2
"11507","IL17RB","protein_coding",3,3,0,0,0,0
"11508","IL17RC","protein_coding",14,6,1,4,4,0
"11509","IL17RD","protein_coding",38,1,4,11,9,9
"11510","IL17RE","protein_coding",1,1,0,0,0,0
"11511","IL18","protein_coding",1,1,0,0,0,0
"11512","IL18BP","protein_coding",4,3,0,0,1,0
"11513","IL18R1","protein_coding",2,2,0,0,0,0
"11514","IL1B","protein_coding",1,1,0,0,0,0
"11515","IL1R1","protein_coding",1,1,0,0,0,0
"11516","IL1RAP","protein_coding",12,10,1,0,1,0
"11517","IL1RAPL1","protein_coding",1,1,0,0,0,0
"11518","IL1RAPL2","protein_coding",4,1,1,1,0,1
"11519","IL1RN","protein_coding",1,1,0,0,0,0
"11520","IL20RA","protein_coding",2,2,0,0,0,0
"11521","IL27RA","protein_coding",5,1,0,1,3,0
"11522","IL32","protein_coding",5,5,0,0,0,0
"11523","IL33","protein_coding",10,2,0,4,1,3
"11524","IL34","protein_coding",3,2,0,0,1,0
"11525","IL37","protein_coding",2,2,0,0,0,0
"11526","IL3RA","protein_coding",1,1,0,0,0,0
"11527","IL4I1","protein_coding",2,2,0,0,0,0
"11528","IL4R","protein_coding",2,2,0,0,0,0
"11529","IL6R","protein_coding",2,2,0,0,0,0
"11530","IL6ST","protein_coding",9,5,1,1,2,0
"11531","IL7","protein_coding",6,6,0,0,0,0
"11532","IL7R","protein_coding",1,1,0,0,0,0
"11533","ILDR2","protein_coding",3,2,0,1,0,0
"11534","ILF2","protein_coding",29,3,5,9,11,1
"11535","ILF3","protein_coding",153,9,16,78,53,3
"11536","ILF3-DT","lncRNA",1,1,0,0,0,0
"11537","ILK","protein_coding",16,5,1,2,7,1
"11538","ILKAP","protein_coding",19,9,0,1,9,0
"11539","ILRUN","protein_coding",6,2,0,3,0,1
"11540","ILVBL","protein_coding",18,2,2,2,12,0
"11541","IMMP1L","protein_coding",9,9,0,0,0,0
"11542","IMMT","protein_coding",37,4,4,14,14,1
"11543","IMP3","protein_coding",1,1,0,0,0,0
"11544","IMP4","protein_coding",27,9,3,8,9,0
"11545","IMPA1","protein_coding",17,3,0,7,6,1
"11546","IMPA2","protein_coding",5,3,0,1,1,0
"11547","IMPACT","protein_coding",8,3,0,2,1,2
"11548","IMPAD1","protein_coding",4,1,0,3,0,0
"11549","IMPDH1","protein_coding",21,5,1,5,9,0
"11550","IMPDH1P8","processed_pseudogene",1,1,0,0,0,0
"11551","IMPDH2","protein_coding",17,3,0,6,8,0
"11552","IMPG1","protein_coding",1,1,0,0,0,0
"11553","INA","protein_coding",10,1,0,1,2,6
"11554","INAFM1","protein_coding",2,1,0,0,0,0
"11555","INAFM2","protein_coding",1,1,0,0,0,0
"11556","INAVA","protein_coding",3,1,1,1,1,0
"11557","INCENP","protein_coding",6,2,1,0,2,1
"11558","INE1","lncRNA",1,1,0,0,0,0
"11559","INE2","lncRNA",1,1,0,0,0,0
"11560","INF2","protein_coding",13,3,3,7,2,0
"11561","ING1","protein_coding",6,4,0,1,1,0
"11562","ING2","protein_coding",2,2,0,0,0,0
"11563","ING3","protein_coding",11,5,3,2,1,0
"11564","ING4","protein_coding",22,10,0,1,11,0
"11565","ING5","protein_coding",19,7,1,3,5,3
"11566","INHA","protein_coding",1,1,0,0,0,0
"11567","INHBA","protein_coding",4,3,0,0,1,0
"11568","INHBA-AS1","lncRNA",3,3,0,0,0,0
"11569","INHBB","protein_coding",1,1,0,0,0,0
"11570","INHBC","protein_coding",1,1,0,0,0,0
"11571","INIP","protein_coding",12,6,1,0,2,2
"11572","INKA1","protein_coding",1,1,0,0,0,0
"11573","INKA2","protein_coding",4,4,0,0,0,0
"11574","INKA2-AS1","lncRNA",3,3,0,0,0,0
"11575","INO80","protein_coding",17,4,3,12,0,0
"11576","INO80B","protein_coding",4,3,0,1,0,0
"11577","INO80B-WBP1","protein_coding",1,1,0,0,0,0
"11578","INO80C","protein_coding",8,6,0,0,2,0
"11579","INO80D","protein_coding",9,1,5,0,0,3
"11580","INO80E","protein_coding",11,9,0,1,1,0
"11581","INPP1","protein_coding",14,4,1,3,5,1
"11582","INPP4A","protein_coding",28,4,0,21,2,1
"11583","INPP4B","protein_coding",5,1,3,3,0,0
"11584","INPP5B","protein_coding",14,3,1,2,6,2
"11585","INPP5D","protein_coding",4,2,0,0,1,1
"11586","INPP5E","protein_coding",36,2,0,6,23,5
"11587","INPP5F","protein_coding",44,13,1,16,14,0
"11588","INPP5J","protein_coding",8,5,0,1,2,0
"11589","INPP5K","protein_coding",36,6,2,7,19,2
"11590","INPPL1","protein_coding",8,1,0,7,0,0
"11591","INSIG1","protein_coding",21,5,3,4,6,3
"11592","INSIG2","protein_coding",15,4,4,3,3,2
"11593","INSM1","protein_coding",2,1,0,0,0,0
"11594","INSM2","protein_coding",1,1,0,0,0,0
"11595","INSR","protein_coding",3,3,0,0,0,0
"11596","INSYN1-AS1","lncRNA",1,1,0,0,0,0
"11597","INSYN2A","protein_coding",2,0,0,2,0,0
"11598","INSYN2B","protein_coding",2,1,0,1,0,0
"11599","INTS1","protein_coding",46,1,1,38,4,2
"11600","INTS10","protein_coding",33,6,4,7,15,1
"11601","INTS11","protein_coding",47,11,0,9,26,1
"11602","INTS12","protein_coding",12,4,1,3,3,2
"11603","INTS13","protein_coding",23,3,9,2,6,3
"11604","INTS14","protein_coding",23,5,0,6,12,0
"11605","INTS2","protein_coding",12,4,0,8,0,0
"11606","INTS3","protein_coding",55,8,1,28,19,0
"11607","INTS4","protein_coding",34,5,1,9,17,2
"11608","INTS5","protein_coding",3,1,0,0,0,2
"11609","INTS6","protein_coding",20,5,3,13,1,0
"11610","INTS6-AS1","lncRNA",2,2,0,0,0,0
"11611","INTS6L","protein_coding",17,4,3,9,3,0
"11612","INTS7","protein_coding",39,6,13,15,3,5
"11613","INTS8","protein_coding",39,4,4,12,18,1
"11614","INTS9","protein_coding",16,7,2,0,5,2
"11615","INTU","protein_coding",22,2,10,5,6,0
"11616","INVS","protein_coding",10,3,2,2,3,0
"11617","IP6K1","protein_coding",25,5,0,4,7,9
"11618","IP6K2","protein_coding",38,14,3,4,17,0
"11619","IPCEF1","protein_coding",7,6,1,0,0,0
"11620","IPMK","protein_coding",5,1,1,0,1,2
"11621","IPMKP1","processed_pseudogene",1,1,0,0,0,0
"11622","IPO11","protein_coding",25,2,3,10,8,2
"11623","IPO13","protein_coding",23,3,1,5,12,2
"11624","IPO4","protein_coding",4,2,0,0,2,0
"11625","IPO5","protein_coding",34,3,4,24,1,3
"11626","IPO5P1","transcribed_processed_pseudogene",1,1,0,0,0,0
"11627","IPO7","protein_coding",32,1,4,23,3,1
"11628","IPO8","protein_coding",29,3,3,20,2,1
"11629","IPO8P1","processed_pseudogene",1,1,0,0,0,0
"11630","IPO9","protein_coding",60,1,2,22,28,7
"11631","IPP","protein_coding",9,2,4,0,2,1
"11632","IPPK","protein_coding",13,3,2,3,4,1
"11633","IQCA1","protein_coding",4,3,1,0,0,0
"11634","IQCB1","protein_coding",25,4,3,8,9,1
"11635","IQCC","protein_coding",3,2,1,0,0,0
"11636","IQCD","protein_coding",3,3,0,0,0,0
"11637","IQCE","protein_coding",14,5,5,5,0,0
"11638","IQCG","protein_coding",11,5,0,0,5,1
"11639","IQCH","protein_coding",1,1,0,0,0,0
"11640","IQCH-AS1","lncRNA",1,1,0,0,0,0
"11641","IQCJ","protein_coding",1,1,0,0,0,0
"11642","IQCJ-SCHIP1","protein_coding",17,3,1,7,6,0
"11643","IQCK","protein_coding",10,6,0,2,2,0
"11644","IQCN","protein_coding",2,1,0,0,0,0
"11645","IQGAP1","protein_coding",32,7,9,14,3,0
"11646","IQGAP2","protein_coding",23,3,6,18,0,0
"11647","IQGAP3","protein_coding",2,2,0,0,0,0
"11648","IQSEC1","protein_coding",5,0,1,1,3,0
"11649","IQSEC2","protein_coding",7,5,1,2,0,0
"11650","IQSEC3","protein_coding",1,0,1,0,0,0
"11651","IQSEC3P1","processed_pseudogene",1,1,0,0,0,0
"11652","IQUB","protein_coding",1,1,0,0,0,0
"11653","IRAK1","protein_coding",11,2,1,7,1,1
"11654","IRAK1BP1","protein_coding",4,2,1,0,1,0
"11655","IRAK2","protein_coding",2,1,0,0,1,0
"11656","IRAK3","protein_coding",1,1,0,0,0,0
"11657","IREB2","protein_coding",13,4,6,3,0,0
"11658","IRF1","protein_coding",2,2,0,0,0,0
"11659","IRF1-AS1","lncRNA",6,6,0,0,0,0
"11660","IRF2","protein_coding",4,1,0,0,2,1
"11661","IRF2BP1","protein_coding",1,1,0,0,0,0
"11662","IRF2BP2","protein_coding",7,3,0,0,2,1
"11663","IRF2BPL","protein_coding",19,1,1,0,1,13
"11664","IRF3","protein_coding",10,8,0,1,1,0
"11665","IRF5","protein_coding",4,3,0,0,1,0
"11666","IRF6","protein_coding",1,1,0,0,0,0
"11667","IRF7","protein_coding",10,4,0,0,6,0
"11668","IRF8","protein_coding",2,2,0,0,0,0
"11669","IRF9","protein_coding",6,5,0,0,1,0
"11670","IRGQ","protein_coding",8,4,0,0,1,2
"11671","IRS1","protein_coding",4,2,0,0,1,1
"11672","IRS2","protein_coding",1,1,0,0,0,0
"11673","IRS3P","processed_pseudogene",1,1,0,0,0,0
"11674","ISCA1","protein_coding",10,4,0,2,2,2
"11675","ISCA2","protein_coding",5,3,1,0,0,1
"11676","ISCA2P1","processed_pseudogene",1,1,0,0,0,0
"11677","ISCU","protein_coding",14,7,3,3,2,0
"11678","ISG15","protein_coding",2,2,0,0,0,0
"11679","ISG20L2","protein_coding",11,4,3,0,3,1
"11680","ISL1","protein_coding",1,1,0,0,0,0
"11681","ISLR","protein_coding",2,2,0,0,0,0
"11682","ISLR2","protein_coding",10,6,1,1,0,2
"11683","ISM1","protein_coding",1,1,0,0,0,0
"11684","ISM2","protein_coding",3,3,0,0,0,0
"11685","ISOC1","protein_coding",3,1,0,2,0,0
"11686","ISOC2","protein_coding",4,4,0,0,0,0
"11687","IST1","protein_coding",43,8,2,13,17,3
"11688","ISY1","protein_coding",4,4,0,0,0,0
"11689","ISY1-RAB43","protein_coding",2,1,0,0,0,1
"11690","ISYNA1","protein_coding",28,8,0,7,13,0
"11691","ITCH","protein_coding",21,7,4,5,5,0
"11692","ITFG1","protein_coding",48,4,7,15,13,9
"11693","ITFG1-AS1","lncRNA",1,1,0,0,0,0
"11694","ITFG2","protein_coding",18,6,3,1,8,0
"11695","ITGA1","protein_coding",5,3,2,0,0,0
"11696","ITGA10","protein_coding",1,1,0,0,0,0
"11697","ITGA11","protein_coding",2,2,0,0,0,0
"11698","ITGA2","protein_coding",7,2,5,0,0,0
"11699","ITGA2B","protein_coding",3,2,0,1,0,0
"11700","ITGA3","protein_coding",10,7,0,2,0,1
"11701","ITGA4","protein_coding",5,5,0,0,0,0
"11702","ITGA5","protein_coding",2,1,0,1,0,0
"11703","ITGA6","protein_coding",21,2,3,14,1,1
"11704","ITGA7","protein_coding",10,5,0,3,2,0
"11705","ITGA8","protein_coding",1,1,0,0,0,0
"11706","ITGA9","protein_coding",2,2,0,0,0,0
"11707","ITGA9-AS1","lncRNA",9,9,0,0,0,0
"11708","ITGAE","protein_coding",4,3,0,0,0,1
"11709","ITGAM","protein_coding",2,2,0,0,0,0
"11710","ITGAV","protein_coding",14,3,4,7,0,0
"11711","ITGAX","protein_coding",2,2,0,0,0,0
"11712","ITGB1","protein_coding",29,2,3,14,3,7
"11713","ITGB1-DT","lncRNA",2,2,0,0,0,0
"11714","ITGB1BP1","protein_coding",31,14,7,1,9,0
"11715","ITGB1BP2","protein_coding",1,1,0,0,0,0
"11716","ITGB2","protein_coding",3,3,0,0,0,0
"11717","ITGB3","protein_coding",1,1,0,0,0,0
"11718","ITGB3BP","protein_coding",12,7,1,1,2,1
"11719","ITGB4","protein_coding",2,2,0,0,0,0
"11720","ITGB5","protein_coding",11,2,0,8,1,0
"11721","ITGB8","protein_coding",8,4,2,2,0,0
"11722","ITGBL1","protein_coding",1,1,0,0,0,0
"11723","ITIH2","protein_coding",1,1,0,0,0,0
"11724","ITIH5","protein_coding",7,1,1,2,1,1
"11725","ITM2A","protein_coding",6,3,0,1,1,1
"11726","ITM2B","protein_coding",11,3,2,4,2,0
"11727","ITM2C","protein_coding",16,4,0,5,4,3
"11728","ITPA","protein_coding",8,6,0,0,2,0
"11729","ITPK1","protein_coding",23,3,1,9,8,2
"11730","ITPK1-AS1","lncRNA",1,1,0,0,0,0
"11731","ITPKB","protein_coding",4,1,0,3,0,0
"11732","ITPKC","protein_coding",2,1,0,1,0,0
"11733","ITPR1","protein_coding",33,16,5,13,0,0
"11734","ITPR1-DT","lncRNA",1,1,0,0,0,0
"11735","ITPR2","protein_coding",9,1,7,0,0,0
"11736","ITPR3","protein_coding",1,1,0,0,0,0
"11737","ITPRID1","protein_coding",7,2,2,1,1,1
"11738","ITPRID2","protein_coding",25,6,2,14,2,1
"11739","ITPRIP","protein_coding",3,2,0,0,0,1
"11740","ITPRIPL1","protein_coding",4,3,0,1,0,0
"11741","ITPRIPL2","protein_coding",1,1,0,0,0,0
"11742","ITSN1","protein_coding",71,12,20,30,10,4
"11743","ITSN2","protein_coding",23,3,16,4,2,0
"11744","IVD","protein_coding",10,4,0,0,5,1
"11745","IVNS1ABP","protein_coding",58,6,10,26,14,6
"11746","IWS1","protein_coding",21,5,6,4,4,2
"11747","IZUMO4","protein_coding",6,5,0,0,1,0
"11748","JADE1","protein_coding",15,7,7,3,0,0
"11749","JADE2","protein_coding",2,2,0,0,0,0
"11750","JADE3","protein_coding",11,1,2,8,0,0
"11751","JAG1","protein_coding",17,2,0,14,0,1
"11752","JAG2","protein_coding",21,0,2,21,0,0
"11753","JAGN1","protein_coding",3,2,0,0,0,1
"11754","JAK1","protein_coding",43,7,9,24,1,2
"11755","JAK2","protein_coding",9,2,1,4,2,0
"11756","JAK3","protein_coding",2,2,0,0,0,0
"11757","JAKMIP1","protein_coding",6,3,1,3,0,0
"11758","JAKMIP2","protein_coding",40,4,20,10,8,0
"11759","JAKMIP3","protein_coding",5,4,0,1,0,0
"11760","JAM2","protein_coding",13,4,0,6,3,0
"11761","JAM3","protein_coding",14,4,0,6,3,1
"11762","JARID2","protein_coding",6,2,2,1,1,0
"11763","JAZF1","protein_coding",10,4,1,2,2,1
"11764","JAZF1-AS1","lncRNA",1,1,0,0,0,0
"11765","JCAD","protein_coding",4,1,1,1,1,0
"11766","JCHAINP1","processed_pseudogene",1,1,0,0,0,0
"11767","JHY","protein_coding",11,3,5,2,2,0
"11768","JKAMP","protein_coding",13,9,0,2,2,0
"11769","JMJD1C","protein_coding",74,5,39,27,8,1
"11770","JMJD1C-AS1","lncRNA",1,1,0,0,0,0
"11771","JMJD4","protein_coding",7,4,0,0,1,2
"11772","JMJD6","protein_coding",17,7,2,6,2,1
"11773","JMJD7","protein_coding",4,3,1,0,0,0
"11774","JMJD7-PLA2G4B","protein_coding",18,2,2,12,2,0
"11775","JMJD8","protein_coding",9,6,0,0,3,0
"11776","JMY","protein_coding",7,1,3,4,0,0
"11777","JOSD1","protein_coding",12,4,0,1,7,0
"11778","JOSD2","protein_coding",4,4,0,0,0,0
"11779","JPH1","protein_coding",14,2,4,6,1,3
"11780","JPH3","protein_coding",6,3,1,3,0,0
"11781","JPH4","protein_coding",13,3,2,6,2,1
"11782","JPT1","protein_coding",16,7,1,2,2,4
"11783","JPT2","protein_coding",12,8,1,2,1,0
"11784","JPX","lncRNA",37,30,3,2,2,0
"11785","JRK","protein_coding",4,1,1,2,0,1
"11786","JRKL","protein_coding",1,1,0,0,0,0
"11787","JTB","protein_coding",8,4,1,2,2,0
"11788","JTBP1","processed_pseudogene",1,1,0,0,0,0
"11789","JUN","protein_coding",8,1,1,0,0,1
"11790","JUNB","protein_coding",1,1,0,0,0,0
"11791","JUND","protein_coding",1,1,0,0,0,0
"11792","JUP","protein_coding",34,3,9,14,7,4
"11793","KALRN","protein_coding",53,5,4,47,1,0
"11794","KANK1","protein_coding",12,3,2,3,4,1
"11795","KANK1P1","processed_pseudogene",1,1,0,0,0,0
"11796","KANK2","protein_coding",11,3,0,1,7,0
"11797","KANK3","protein_coding",1,1,0,0,0,0
"11798","KANK4","protein_coding",3,3,0,0,0,0
"11799","KANSL1","protein_coding",21,17,3,1,1,0
"11800","KANSL1-AS1","lncRNA",3,3,0,0,0,0
"11801","KANSL1L","protein_coding",6,3,0,3,0,0
"11802","KANSL2","protein_coding",41,2,2,5,31,1
"11803","KANSL3","protein_coding",67,8,2,25,31,1
"11804","KANTR","protein_coding",11,3,0,2,5,1
"11805","KARS1","protein_coding",27,7,1,7,9,3
"11806","KARS1P1","processed_pseudogene",1,1,0,0,0,0
"11807","KARS1P2","processed_pseudogene",1,1,0,0,0,0
"11808","KAT14","protein_coding",35,5,1,7,16,6
"11809","KAT2A","protein_coding",28,3,1,11,11,2
"11810","KAT2B","protein_coding",4,2,0,2,0,0
"11811","KAT5","protein_coding",33,11,0,9,11,2
"11812","KAT6A","protein_coding",23,11,5,5,1,1
"11813","KAT6B","protein_coding",98,25,36,22,16,0
"11814","KAT7","protein_coding",34,6,2,18,8,1
"11815","KAT8","protein_coding",6,5,1,0,0,0
"11816","KATNA1","protein_coding",11,2,2,0,6,1
"11817","KATNAL1","protein_coding",10,3,4,0,2,0
"11818","KATNAL2","protein_coding",1,1,0,0,0,0
"11819","KATNB1","protein_coding",31,3,2,4,21,1
"11820","KATNBL1","protein_coding",31,8,2,5,13,2
"11821","KATNBL1P2","processed_pseudogene",1,1,0,0,0,0
"11822","KAZALD1","protein_coding",2,2,0,0,0,0
"11823","KAZN","protein_coding",13,1,0,12,0,0
"11824","KBTBD11","protein_coding",1,0,0,0,0,1
"11825","KBTBD12","protein_coding",5,3,2,0,0,0
"11826","KBTBD2","protein_coding",12,1,1,3,6,2
"11827","KBTBD3","protein_coding",6,4,0,0,1,1
"11828","KBTBD4","protein_coding",15,5,0,3,6,1
"11829","KBTBD6","protein_coding",1,1,0,0,0,0
"11830","KBTBD7","protein_coding",1,1,0,0,0,0
"11831","KBTBD8","protein_coding",5,3,0,1,1,0
"11832","KCMF1","protein_coding",6,1,0,5,0,0
"11833","KCNA1","protein_coding",1,1,0,0,0,0
"11834","KCNA2","protein_coding",3,3,0,0,0,0
"11835","KCNA3","protein_coding",1,1,0,0,0,0
"11836","KCNA4","protein_coding",2,2,0,0,0,0
"11837","KCNA5","protein_coding",1,1,0,0,0,0
"11838","KCNA6","protein_coding",1,1,0,0,0,0
"11839","KCNAB1","protein_coding",6,2,1,2,0,1
"11840","KCNAB2","protein_coding",15,12,0,3,0,0
"11841","KCNAB3","protein_coding",11,2,0,3,5,1
"11842","KCNB1","protein_coding",3,3,0,0,0,0
"11843","KCNB2","protein_coding",2,0,1,0,1,0
"11844","KCNC1","protein_coding",3,3,0,0,0,0
"11845","KCNC2","protein_coding",10,5,3,1,1,0
"11846","KCNC3","protein_coding",4,2,0,1,1,0
"11847","KCNC4","protein_coding",6,5,0,1,0,0
"11848","KCND1","protein_coding",2,2,0,0,0,0
"11849","KCND2","protein_coding",5,1,1,3,0,0
"11850","KCND3","protein_coding",2,2,0,0,0,0
"11851","KCNE1","protein_coding",1,1,0,0,0,0
"11852","KCNE1B","protein_coding",2,2,0,0,0,0
"11853","KCNE3","protein_coding",1,1,0,0,0,0
"11854","KCNE4","protein_coding",1,1,0,0,0,0
"11855","KCNE5","protein_coding",1,1,0,0,0,0
"11856","KCNF1","protein_coding",1,1,0,0,0,0
"11857","KCNG1","protein_coding",3,3,0,0,0,0
"11858","KCNH1","protein_coding",2,2,0,0,0,0
"11859","KCNH2","protein_coding",2,2,0,0,0,0
"11860","KCNH3","protein_coding",2,2,0,0,0,0
"11861","KCNH4","protein_coding",1,1,0,0,0,0
"11862","KCNH5","protein_coding",1,1,0,0,0,0
"11863","KCNH7","protein_coding",10,1,2,0,1,6
"11864","KCNH8","protein_coding",10,1,2,8,0,0
"11865","KCNIP1","protein_coding",4,3,0,1,0,0
"11866","KCNIP2","protein_coding",18,4,2,9,3,1
"11867","KCNIP2-AS1","lncRNA",1,1,0,0,0,0
"11868","KCNIP3","protein_coding",8,4,0,0,2,2
"11869","KCNIP4","protein_coding",3,2,0,1,0,0
"11870","KCNIP4-IT1","lncRNA",1,1,0,0,0,0
"11871","KCNJ10","protein_coding",2,2,0,0,0,0
"11872","KCNJ11","protein_coding",2,2,0,0,0,0
"11873","KCNJ12","protein_coding",1,1,0,0,0,0
"11874","KCNJ13","protein_coding",3,3,0,0,0,0
"11875","KCNJ14","protein_coding",1,1,0,0,0,0
